Hallo.	Hello.	[sound:Firetongues-DE-EN-0001.mp3]	
Das war die wichtigste Erfahrung meines Lebens.	That was the most important experience of my life.	[sound:Firetongues-DE-EN-0657.mp3]	
Nazi-Deutschland ist der dunkelste Teil der deutschen Geschichte.	Nazi Germany is the darkest part of German history.	[sound:Firetongues-DE-EN-0658.mp3]	
Während meiner Reise habe ich viele schöne Orte kennengelernt.	During my trip, I got to know many beautiful places.	[sound:Firetongues-DE-EN-0659.mp3]	
Eines Tages müssen wir alle sterben.	One day we all must die.	[sound:Firetongues-DE-EN-0660.mp3]	
Plötzlich macht alles Sinn.	Suddenly, it all makes sense.	[sound:Firetongues-DE-EN-0665.mp3]	
Du findest immer irgendeinen Grund, andere für dich arbeiten zu lassen.	You always find some reason to let others work for you.	[sound:Firetongues-DE-EN-0666.mp3]	
Zwischen mir und den Nachbarn gibt es immer Probleme.	There are always problems between me and my neighbors.	[sound:Firetongues-DE-EN-0667.mp3]	
Niemand hat sich getraut, seine Meinung zu sagen.	Nobody dared to speak his mind.	[sound:Firetongues-DE-EN-0668.mp3]	
Rate mal, was ich bekommen habe: Ein Fahrrad.	Guess what I got: A bicycle.	[sound:Firetongues-DE-EN-0669.mp3]	
Ich frage mich, ob ich es schaffen kann.	I wonder if I can do it.	[sound:Firetongues-DE-EN-0670.mp3]	
Bist du bereit?	Are you ready?	[sound:Firetongues-DE-EN-0671.mp3]	
Möchte jemand etwas unternehmen?	Does anyone want to do something?	[sound:Firetongues-DE-EN-0672.mp3]	
Das Frühstück ist gratis.	The breakfast is free.	[sound:Firetongues-DE-EN-0673.mp3]	
Bald ist alles vorbei.	Everything will be over soon.	[sound:Firetongues-DE-EN-0674.mp3]	
Der Kuchen wird gegessen.	The cake is eaten.	[sound:Firetongues-DE-EN-0675.mp3]	
Du wirst geliebt, ich werde gehasst.	You are loved, I am hated.	[sound:Firetongues-DE-EN-0676.mp3]	
Die Prüfung wird verschoben.	The test is postponed.	[sound:Firetongues-DE-EN-0677.mp3]	
Die Unterschiede wurden deutlich gemacht.	The differences were made clear.	[sound:Firetongues-DE-EN-0678.mp3]	
Das Programm wurde geändert.	The program was changed.	[sound:Firetongues-DE-EN-0679.mp3]	
Das muss gemacht werden.	This must be done.	[sound:Firetongues-DE-EN-0680.mp3]	
Das neue Thema wird den Schülern von ihrem Lehrer erklärt.	The new topic is explained to the students by their teacher.	[sound:Firetongues-DE-EN-0681.mp3]	
Du wurdest von ihm gesehen.	You were seen by him.	[sound:Firetongues-DE-EN-0682.mp3]	
Er wurde durch ein Wunder gerettet.	He was saved by a miracle.	[sound:Firetongues-DE-EN-0683.mp3]	
Es wurde ein Fehler gemacht.	A mistake has been made.	[sound:Firetongues-DE-EN-0684.mp3]	
Es wird dir geholfen.	You get help.	[sound:Firetongues-DE-EN-0685.mp3]	
Jetzt wird nicht geredet!	No one is talking now!	[sound:Firetongues-DE-EN-0686.mp3]	
Herzlichen Glückwunsch!	Congratulations!	[sound:Firetongues-DE-EN-0687.mp3]	
Du hast unseren Deutschkurs erfolgreich abgeschlossen.	You've successfully completed our German course.	[sound:Firetongues-DE-EN-0688.mp3]	
Wie denkst du, dass die Geschichte von Max und Anna ausgeht?	How do you think the story of Max and Anna ends?	[sound:Firetongues-DE-EN-0689.mp3]	
Du darfst dir gerne selbst etwas überlegen.	You may think of something yourself.	[sound:Firetongues-DE-EN-0690.mp3]	
Hör bloß nicht auf, Deutsch zu lernen!	Now don't stop learning German.	[sound:Firetongues-DE-EN-0691.mp3]	
Du kennst jetzt circa 1000 Wörter.	You now know about 1000 words.	[sound:Firetongues-DE-EN-0692.mp3]	
Jetzt kannst du Filme oder Serien auf Deutsch sehen.	Now you can watch movies or series in German.	[sound:Firetongues-DE-EN-0694.mp3]	
Du kannst Deutsch sprechen und mit Deutschsprechern kommunizieren.	You can speak German and communicate with German speakers.	[sound:Firetongues-DE-EN-0696.mp3]	
Du kannst stolz auf dich sein.	You can be proud of yourself.	[sound:Firetongues-DE-EN-0697.mp3]	
Lies hier, wie du am besten weitermachen kannst.	Read here how you can best continue.	[sound:Firetongues-DE-EN-0698.mp3]	
Weiterhin viel Erfolg!	May your success continue!	[sound:Firetongues-DE-EN-0700.mp3]	
