你好！	Nǐ hǎo!	Hello!	[sound:tmp1cctcn.mp3] 
小狗喜欢吃骨头。	Xiǎo gǒu xǐhuan chī gǔtou.	The little dog loves bones.	[sound:tmpriwphg.mp3]
一些同学看见我给了他巧克力。	yīxiē tóngxué kànjiàn wǒ gěi le tā qiǎokèlì.	Some classmate saw me give him chocolate.	[sound:332917.mp3]
他穿灰色的大衣。	Tā chuān huīsède dàyī.	He is wearing a grey overcoat.	[sound:R052-04.mp3]
他是一名出色的哲学家。	Tā shì yī míng chūsè de zhéxuéjiā.	He was an outstanding philosopher.	[sound:tmppr0xm1.mp3]
我超重了。	Wǒ chāozhòng le.	I'm overweight.	[sound:tmpgsmao7.mp3]
人类有很多种族。	Rénlèi yǒu hěn duō zhǒng zú.	Human kind has many ethnic groups.	[sound:tmpgznzcv.mp3]
你真可恶。	Nǐ zhēn kěwù.	You're despicable (or You're such a jerk).	[sound:tmpupd4em.mp3]
她在酒店住宿。	Tā zài jiǔdiàn zhùsù.	She's staying in a hotel.	[sound:tmpidx8jr.mp3]
留学生的住宿条件很好。	Liú xuésheng de zhù sù tiáojiàn hěn hǎo.	The dorms of overseas students is very good.	[sound:tmpfju8de.mp3]
这头象重几吨？	Zhè tóu xiàng zhòng jǐ dūn?	How many tons does this elephant weigh?	[sound:tmpexek2u.mp3]
他一报警，警察就迅速来了。	Tā yī bàojǐng, jǐngchá jiù xùnsù lái le.	As soon as he reported the incident to the police, the police came rapidly.	[sound:tmpp9djpz.mp3]
他已经很久没有收到她的音信。	Tā yǐjing hěn jiǔ méiyǒu shōudào tā de yīnxìn.	He hasn't heard from her for quite a long time.	[sound:tmpkhslfa.mp3]
孩子很依赖父母。	Háizi hěn yīlài fùmǔ.	Children are very dependent on their parents.	[sound:tmphaguaw.mp3]
我的网址是……	Wǒde wǎngzhǐ shì ……	My web address is …	[sound:tmplkbivy.mp3]
他把网址写在了黑板上。	Tā bǎ wǎngzhǐ xiě zài le hēibǎn shàng.	He wrote the web address on the blackboard.	[sound:tmpsfgnjn.mp3]
请把你们的全盘计划告诉我。	qǐng bǎ nǐmen de quán pán jìhuà gàosu wǒ .	Tell me all about your plan.	[sound:333034.mp3]
我们应该多补充点维生素。	Wǒmen yīnggāi duō bǔchōng diǎn wéishēngsù.	We should take more supplemental vitamins.	[sound:tmpshtxe9.mp3]
我听说《西游记》很有名。	Wǒ tīngshuō 《Xīyóujì》 hěn yǒu míng.	I’ve heard that the Journey to the West is very famous.	[sound:R039-05.mp3]
《西游记》在西方不出名。	Xīyóujì zài Xīfāng bù chūmíng.	The Journey to the West is not famous in the West.	[sound:G039-07.mp3]
白人怎么对待其他人种？	Báirén zěnme duìdài qítā rénzhǒng?	How do white people treat other races?	[sound:tmp1gwse7.mp3]
大多数中国人是黄色人种。	Dàduōshù Zhōngguó rén shì huángsè rénzhǒng.	Most Chinese are of the yellow race.	[sound:tmpcdztig.mp3]
她戴着一顶黄色的帽子。	Tā dàizhe yī dǐng huángsè de màozi.	She's wearing a yellow hat.	[sound:tmpma5_a7.mp3]
我买了一辆高档汽车。	Wǒ mǎile yī liàng gāodàng qìchē.	I bought a luxury car.	[sound:tmp1k4oa9.mp3]
她正在听音乐。	Tā zhèngzài tīng yīnyuè.	She's listening to music.	[sound:tmpsdrkut.mp3]
她爱听音乐。	Tā ài tīng yīnyuè.	She loves listening to music.	[sound:tmpufkt2n.mp3]
他喜欢听音乐。	Tā xǐhuan tīng yīnyuè.	He likes to listen to music.	[sound:tmpqaevhi.mp3]
我的爱好是听音乐。	Wǒde àihào shì tīng yīnyuè.	My hobby is listening to music.	[sound:R047-01.mp3]
刘先生今天很生气。	Liú xiānsheng jīntiān hěn shēngqì.	Mr. Liu is very angry today.	[sound:R022-05.mp3]
刘先生今天回苏州。	Liú xiānsheng jīntiān huí Sūzhōu.	Mr. Liu is going back to Suzhou today.	[sound:G032-03.mp3]
刘先生跟家人在一起。	Liú xiānsheng gēn jiārén zài yīqǐ.	Mr. Liu is with his family.	[sound:G021-06.mp3]
刘先生不可以回家。	Liú xiānsheng bù kěyǐ huí jiā.	Mr. Liu can't go home.	[sound:G032-01.mp3]
刘先生昨天来了。	Liú xiānsheng zuótiān lái le.	Mr. Liu came yesterday.	[sound:R030-07.mp3]
他跟刘先生一起工作。	Tā gēn Liú xiānsheng yīqǐ gōngzuò.	He works with Mr. Liu.	[sound:G021-02.mp3]
刘先生是什么地方人？	Liú xiānsheng shì shénme dìfang rén?	Where is Mr. Liu from?	[sound:G026-03.mp3]
刘先生不喜欢单身。	Liú xiānsheng bù xǐhuan dānshēn.	Mr. Liu does not like being single.	[sound:R040-05.mp3]
刘先生今天要去办公室。	Liú xiānsheng jīntiān yào qù bàngōngshì.	Mr. Liu wants to go to the office today.	[sound:G022-03.mp3]
刘先生教历史。	Liú xiānsheng jiāo lìshǐ.	Mr. Liu teaches history.	[sound:G025-06.mp3]
刘先生英语发音不好。	Liú xiānshēng Yīngyǔ fāyīn bù hǎo.	Mr. Liu's English pronunciation is not good.	[sound:G037-05.mp3]
报纸印刷好了。	Bàozhǐ yìnshuā hǎo le.	The newspapers have been printed.	[sound:tmpfmjml9.mp3]
老师列出了优秀学生的名单。	Lǎoshī lièchū le yōuxiù xuésheng de míngdān.	The teacher made a list of excellent students.	[sound:tmp0jcn3f.mp3]
欧洲是艺术的天堂。	Ōuzhōu shì yìshù de tiāntáng.	Europe is heaven for the arts.	[sound:tmpctcslr.mp3]
艺术和色情，怎么区别？	Yìshù hé sèqíng, zěnme qūbié?	How to differentiate between art and pornography?	[sound:tmpo_bsug.mp3]
有时候，黄色代表色情。	Yǒushíhou, huángsè dàibiǎo sèqíng.	Sometimes, the color yellow represents pornography.	[sound:tmpuqpben.mp3]
许多色情网站被政府关闭了。	Xǔduō sèqíng wǎngzhàn bèi zhèngfǔ guānbì le.	Many porn websites were shut down by the government.	[sound:tmpmsyecx.mp3]
他的球艺很好。	Tā de qiúyì hěn hǎo.	His soccer skills are excellent.	[sound:tmpa4j0nd.mp3]
乡下的空气很好。	Xiāngxia de kōngqì hěn hǎo.	The air in the countryside is very fresh.	[sound:tmp5uiy13.mp3]
乡下的卫生太差了。	Xiāngxià de wèishēng tài chà le.	The state of sanitation in the countryside is very bad.	[sound:tmpk37xlr.mp3]
乡下老百姓生活很苦。	Xiāngxia lǎobǎixìng shēnghuó hěn kǔ.	The lives of people in the countryside are very bitter.	[sound:tmpfq2p0h.mp3]
他住在乡下。	Tā zhùzài xiāngxia.	He lives in the countryside.	[sound:tmpwtsffl.mp3]
他们到乡下去度假。	Tāmen dào xiāngxia qù dùjià.	They went to the countryside to vacation.	[sound:tmpoymdy_.mp3]
她太放任她的孩子们了。	tā tài fàngrèn tā de háizimen le .	She lets her children have their own way too much.	[sound:332997.mp3]
这杯茶很烫。	Zhè bēi chá hěn tàng.	This cup of tea is very hot.	[sound:tmppics5_.mp3]
她在烫衣服。	Tā zài tàng yīfu.	She's ironing the clothes.	[sound:tmphxrary.mp3]
那个东西很值钱。	Nàge dōngxi hěn zhíqián.	That is very valuable.	[sound:tmpodaerv.mp3]
他狠狠地骂我。	Tā hěnhěn de mà wǒ.	He cursed me ferociously.	[sound:tmpcebfo6.mp3]
我想去西雅图。	wǒ xiǎng qù xīyātú .	I want to go to Seattle.	[sound:333258.mp3]
他的情绪很低落。	Tā de qíngxù hěn dīluò.	He is dejected.	[sound:tmpgofgpj.mp3]
他端着啤酒走过来。	Tā duānzhe píjiǔ zǒu guòlái.	He came over, carrying a tray of beer.	[sound:tmpbss_ct.mp3]
今天是晴天。	Jīntiān shì qíngtiān.	It's sunny today.	[sound:tmpyx8_ft.mp3]
该国列入了发达国家的名单。	Gāi guó lièrù le fādá guójiā de míngdān.	That country is listed as a developed country.	[sound:tmpve8hxi.mp3]
这章内容已被列入考试范围。	Zhè zhāng nèiróng yǐ bèi lièrù kǎoshì fànwéi.	This content has been listed as being within the scope of the exam.	[sound:tmpcqwlyt.mp3]
你应该打扫厨房。	Nǐ yīnggāi dǎsǎo chúfáng.	You should clean the kitchen.	[sound:R081-01.mp3]
这个教室很久没有人打扫了。	Zhè gè jiàoshì hěn jiǔ méiyǒurén dǎsǎo le.	This classroom hasn't been cleaned in a long time.	[sound:R081-03.mp3]
我需要打扫这个房间。	Wǒ xūyào dǎsǎo zhè gè fángjiān.	I need to clean this room.	[sound:R081-02.mp3]
公寓被打扫得很干净。	Gōngyù bèi dǎsǎode hěn gānjìng.	The apartment has been given a thorough cleaning.	[sound:R081-06.mp3]
地面打扫得真干净！	Dìmiàn dǎsǎode zhēn gānjìng!	The floor was wiped clean!	[sound:tmplgpnth.mp3]
我在打扫卫生间。	Wǒ zài dǎsǎo wèishēnɡjiān.	I am cleaning the bathroom.	[sound:R081-04.mp3]
他早上打扫卫生间了。	Tā zǎoshang dǎsǎo wèishēnɡjiān le.	He cleaned the bathroom this morning.	[sound:R081-05.mp3]
我下午打扫卧室了。	Wǒ xiàwǔ dǎsǎo wòshì le.	I cleaned the bedroom this afternoon	[sound:R081-07.mp3]
我直接走向卧室。	Wǒ zhíjiē zǒuxiàng wòshì.	I go straight toward the bedroom.	[sound:tmpcs9_ft.mp3]
卧室很舒适。	Wòshì hěn shūshì.	The bedroom is comfortable.	[sound:tmpfo6vdz.mp3]
卧室里有一张单人床。	Wòshì lǐ yǒu yī zhāng dānrénchuáng.	There's a single bed in the bedroom.	[sound:tmplpwygk.mp3]
刚出门，忽然下起了大雨。	Gāng chūmén, hūrán xiàqǐle dàyǔ.	It started to rain heavily just when I stepped out the door.	[sound:tmpp5azxa.mp3]
孔小姐决定跟她男朋友分手了。	Kǒng xiǎojiě juédìng gēn tā nánpéngyou fēnshǒu le.	Ms. Kong decided to break up with her boyfriend.	[sound:R104-03.mp3]
孔老师今天要教三堂课。	Kǒng lǎoshī jīntiān yào jiāo sān táng kè.	Kong teacher will teach three classes today.	[sound:G043-05.mp3]
孔老师爱好诗词。	Kǒng lǎoshī àihào shīcí.	Teacher Kong is keen on poetry.	[sound:G047-02.mp3]
他们接受了委托。	Tāmen jiēshòule wěituō.	They've accepted the job.	[sound:tmpsbtan8.mp3]
他是罪犯。	Tā shì zuìfàn.	He is a criminal.	[sound:tmpkgqqh5.mp3]
监狱里关着罪犯。	Jiānyù li guān zhe zuìfàn.	Criminals are kept in prison.	[sound:tmplnposz.mp3]
罪犯被关进了监狱。	Zuìfàn bèi guānjìnle jiānyù.	The criminal has been put in prison.	[sound:tmpz6savp.mp3]
他是一个邪恶的罪犯。	Tā shì yī gè xié'è de zuìfàn.	He is an evil criminal.	[sound:tmpqkruju.mp3]
这里的交通很拥挤。	Zhèli de jiāotōng hěn yōngjǐ.	The traffic is really heavy here.	[sound:tmp0qoses.mp3]
我被调到了人事部门。	Wǒ bèi diào dào le rénshì bùmén.	I was transferred to human resources department.	[sound:tmpusmlhm.mp3]
这里有两根筷子。	Zhèli yǒu liǎng gēn kuàizi.	There are two chopsticks here.	[sound:tmpzb5phq.mp3]
我会用筷子吃饭。	Wǒ huì yòng kuàizi chīfàn.	I know how to eat with chopsticks.	[sound:tmpd1hucr.mp3]
中国人用筷子吃饭。	Zhōngguó rén yòng kuàizi chīfàn.	Chinese people use chopsticks to eat.	[sound:tmptwj3ti.mp3]
这是谁的筷子？	Zhè shì shéi de kuàizi?	Whose chopsticks are these?	[sound:G034-06.mp3]
国会审查那个案子。	Guóhuì shěnchá nàge ànzi.	Congress is investigating that case.	[sound:tmpe_qc_g.mp3]
有人举报了他，警察在审查他。	Yǒu rén jǔbào le tā, jǐngchá zài shěnchá tā.	Somebody reported on him. The police are investigating him.	[sound:tmpnkkkhk.mp3]
你觉得这件毛衣怎么样？	nǐ juéde zhè jiàn máoyī zěnmeyàng ?	What do you think of this sweater?	[sound:332853.mp3]
孩子在这条河里游泳太危险了。	háizi zài zhè tiáo hé lǐ yóuyǒng tài wēixiǎn le .	This river is dangerous for children to swim in.	[sound:332821.mp3]
他到北京寻求新的发展机会。	Tā dào Běijīng xúnqiú xīn de fāzhǎn jīhuì.	He came to Beijing to seek new opportunities for (economic) growth.	[sound:tmp1c2rv5.mp3]
这件事情绝对要保密。	Zhèjiàn shìqing juéduì yào bǎomì.	This matter must absolutely be kept confidential.	[sound:tmpgpiwsa.mp3]
陈先生不是商人。	Chén xiānsheng bù shì shāngrén.	Mr. Chen is not a businessperson.	[sound:G001-02.mp3]
陈先生不是大学生。	Chén xiānsheng bù shì dàxuéshēng.	Mr. Chen is not a university student.	[sound:G001-03.mp3]
陈先生什么时候要去加拿大？	Chén xiānsheng shénme shíhòu yào qù Jiānádà?	When will Mr. Chen go to Canada?	[sound:R031-04.mp3]
陈先生不是韩国人。	Chén xiānshēng bù shì Hánguórén.	Mr. Chen is not Korean.	[sound:G001-07.mp3]
陈先生比你胖。	Chén xiānsheng bǐ nǐ pàng.	Mr. Chen is fatter than you.	[sound:R063-06.mp3]
他不认识陈先生。	Tā bú rènshi Chén xiānsheng.	He doesn't know Mr. Chen.	[sound:R003-05.mp3]
这是陈先生的手机。	Zhè shì Chén xiānsheng de shǒujī.	This is Mr. Chen's cell phone.	[sound:R010-02.mp3]
给陈先生打电话。	Gěi Chén xiānsheng dǎ diànhuà.	Give Mr. Chen a phone call.	[sound:R027-05.mp3]
陈先生在商店。	Chén xiānshēng zài shāngdiàn.	Mr. Chen is at the store.	[sound:G005-01.mp3]
A陈先生,您去学校吗?<br/>B是,我去学校。你呢?	Chén xiānsheng, nín qù xuéxiào ma?<br />Shì, wǒ qù xuéxiào. Nǐ ne?	Mr. Chen, are you going to school?<br />Yes, I am going to school. And you?	[sound:R004-DLG.mp3]
你怎么认识陈先生的？	Nǐ zěnme rènshi Chén xiānsheng de?	How do you know Mr. Chen?	[sound:R018-04.mp3]
陈先生不会说英语。	Chén xiānsheng bú huì shuō Yīngyǔ.	Mr. Chen doesn't know how to speak English.	[sound:R009-03.mp3]
陈先生没有手机。	Chén xiānsheng méi yǒu shǒujī.	Mr. Chen does not have a cell phone.	[sound:G011-02.mp3]
我认识陈先生。	Wǒ rènshi Chén xiānsheng.	I know Mr. Chen.	[sound:G003-04.mp3]
陈先生从哪里来？	Chén xiānsheng cóng nǎli lái?	Where does Mr. Chen come from?	[sound:R030-03.mp3]
请问,陈先生在哪里？	Qǐngwèn, Chén xiānsheng zài nǎli?	Excuse me, where is Mr. Chen?	[sound:G014-05.mp3]
陈先生几点下班？	Chén xiānsheng jǐdiǎn xiàbān?	What time does Mr. Chen finish work?	[sound:R029-05.mp3]
陈先生的英语说得不好。	Chén xiānshengde Yīngyǔ shuōde bù hǎo.	Mr. Chen doesn't speak English well.	[sound:G008-04.mp3]
陈先生在宾馆。	Chén xiānsheng zài bīnguǎn.	Mr. Chen is at the hotel.	[sound:R005-05.mp3]
陈先生今天很累。	Chén xiānsheng jīntiān hěn lèi.	Mr. Chen is very tired today.	[sound:G022-04.mp3]
陈先生不是美国人。	Chén xiānsheng bú shì Měiguórén.	Mr. Chen is not American.	[sound:R001-06.mp3]
陈先生很有意思。	Chén xiānsheng hěn yǒu yìsi.	Mr. Chen is very interesting.	[sound:R019-03.mp3]
陈先生不喜欢喝可乐。	Chén xiānshēng bù xǐhuan hē kělè.	Mr. Chen does not like to drink Cola.	[sound:G016-05.mp3]
A陈先生英语说得很好。<br/>B是,他在加拿大住过三年。	Chén xiānsheng Yīngyǔ shuōde hěn hǎo.<br />Shì, tā zài Jiānádà zhùguò sān nián.	Mr. Chen speaks English really well.<br />Yes, he lived in Canada for three years.	[sound:R008-DLG.mp3]
陈先生的爱好是书法。	Chén xiānshēngde àihào shì shūfǎ.	Mr. Chen's hobby is calligraphy.	[sound:R047-04.mp3]
我饱了。	Wǒ bǎo le.	I'm full.	[sound:tmpp0382x.mp3]
我收到一张请帖。	Wǒ shōudào yī zhāng qǐngtiě.	I've received an invitation.	[sound:tmpactvyp.mp3]
我收到了一张请帖。	wǒ shōudào le yī zhāng qǐngtiě .	I received an invitation.	[sound:332420.mp3]
政府忽略了老百姓的想法。	Zhèngfǔ hūlüè le lǎobǎixìng de xiǎngfa.	The government neglected the people's opinions.	[sound:tmp4wh9vz.mp3]
学生不该忽略自己的身份。	xuésheng bù gāi hūlvè zìjǐ de shēnfèn .	A student should not lose sight of his own identity.	[sound:333432.mp3]
他忙于工作，忽略了对孩子的教育。	Tā mángyú gōngzuò, hūlüè le duì háizi de jiàoyù.	He is busy with work and neglected his children's education.	[sound:tmpvefpaa.mp3]
我一直忙于写一部短篇小说。	wǒ yīzhí máng yú xiě yī bù duǎn piān xiǎoshuō .	I have been busy writing a short story.	[sound:333038.mp3]
化学属于理科。	Huàxué shǔyú lǐkē.	Chemistry is branch of the natural sciences.	[sound:tmp4egbue.mp3]
这条街很繁华。	Zhè tiáo jiē hěn fánhuá.	This street is bustling.	[sound:tmpv8ijcl.mp3]
你不得不制造一些借口。	nǐ bùdébù zhìzào yīxiē jièkǒu .	You'll have to manufacture some kind of excuse.	[sound:332430.mp3]
老板赞成我提的意见。	Lǎobǎn zànchéng wǒ tí de yìjiàn.	The boss approved of my suggestion.	[sound:tmplyeajv.mp3]
你赞成还是反对这个计划？	nǐ zànchéng háishì fǎnduì zhè gè jìhuà ?	Are you for or against the plan?	[sound:333501.mp3]
我赞成你的意见。	Wǒ zànchéng nǐde yìjiàn.	I agree with you.	[sound:tmpkns1cr.mp3]
我不在乎。	Wǒ bù zàihu.	I don't care.	[sound:tmpbpz9ve.mp3]
这栋房子太陈旧了。	Zhè dòng fángzi tài chénjiù le.	This house is too old.	[sound:tmpyxhcot.mp3]
这里有一壶茶。	Zhèli yǒu yī hú chá.	Here is a pot of tea.	[sound:tmpt0hqz5.mp3]
当局应该注意这个问题。	Dāngjú yīnggāi zhùyì zhè gè wèntí.	The authorities should pay attention to this issue.	[sound:tmpxyvbsu.mp3]
政府当局发表了一个声明。	Zhèngfǔ dāngjú fābiǎo le yīge shēngmíng.	The government authorities put out an announcement.	[sound:tmpeadix9.mp3]
他在讲台上发表演讲。	Tā zài jiǎngtái shàng fābiǎo yǎnjiǎng.	He's standing at the dais giving a speech.	[sound:tmpqcniyr.mp3]
总统下台了，许多人发表了评论。	Zǒngtǒng xiàtái le, xǔduō rén fābiǎo le pínglùn.	Many people put out commentary on the President's having left office.	[sound:tmphyatao.mp3]
他们正在建造房子。	Tāmen zhèngzài jiànzào fángzi.	They're building a house.	[sound:tmpoltgtv.mp3]
一般来说,学生们在学习上进步很快。	Yībānláishuō, xuéshengmen zài xuéxí shàng jìnbù hěn kuài.	Generally speaking, the students have made quick progress in their studies.	[sound:R086-07.mp3]
一般来说,企业管理是一个受欢迎的专业。	Yībānláishuō, qǐyèguǎnlǐ shì yī gè shòuhuānyíngde zhuānyè.	Generally speaking, business management is a popular major.	[sound:R084-04.mp3]
地球环境在不断地恶化。	Dìqiú huánjìng zài bùduàn de èhuà.	The earth's environment is constantly deteriorating.	[sound:tmpwm0vn6.mp3]
他的病情恶化了。	Tāde bìngqíng èhuà le.	His illness worsened.	[sound:tmpu8cmfg.mp3]
空气品质恶化了。	Kōngqì pǐnzhì èhuà le.	Air quality has deteriorated.	[sound:tmpmcrkhb.mp3]
京都有很多所大学。	jīngdū yǒu hěn duō suǒ dàxué .	Kyoto has many universities.	[sound:333508.mp3]
你去过京都吗？	nǐ qù guò jīngdū ma ?	Have you ever been to Kyoto? <br /> Have you ever visited Kyoto?	[sound:334659.mp3]
据说山上的天气变化很快。	jùshuō shān shàng de tiānqì biànhuà hěn kuài .	It is said that the weather in the mountain changes easily.	[sound:332452.mp3]
据说，他考上了东京大学。	Jùshuō, tā kǎo shàng le dōngjīng dàxué.	It is said that he got into Tokyo University.	[sound:tmpyfu9yg.mp3]
李明考上了医学博士。	Lǐ Míng kǎo shàng le yīxué bóshì.	Li Ming passed his exam to become a Ph.D.	[sound:tmpya_3en.mp3]
电灯亮了。	Diàndēng liàng le.	The lights are on.	[sound:tmp9bbjc6.mp3]
你的学习成绩退步了。	Nǐ de xuéxí chéngjì tuìbù le.	You have fallen behind in your grades.	[sound:tmpeyuhvl.mp3]
停车场是免费的。	tíngchēchǎng shì miǎnfèi de .	The parking lot is free of charge.	[sound:332814.mp3]
大家聚集在一起。	Dàjiā jùjí zài yīqǐ.	Everyone gathered together.	[sound:tmp7e2bsu.mp3]
街上聚集了很多民众。	Jiēshang jùjíle hěn duō mínzhòng.	Many people have gathered in the street.	[sound:tmpwtsbnq.mp3]
民众上街抗议。	Mínzhòng shàngjiē kàngyì.	The masses protested on the streets.	[sound:tmpj3rmfx.mp3]
这辆轿车很豪华。	Zhè liàng jiàochē hěn háohuá.	This car is very luxurious.	[sound:tmp3ok3yp.mp3]
她和小姨在看书。	Tā hé xiǎoyí zài kànshū.	She's reading with her youngest aunt.	[sound:tmprmfbjk.mp3]
法官在断案。	Fǎguān zài duàn'àn.	The judge is deciding a case.	[sound:tmpmph_pi.mp3]
国家出台了一个新法案。	Guójiā chūtái le yīge xīn fǎ'àn.	The government issued a new bill.	[sound:tmpya0k1h.mp3]
新法案已经实施了。	Xīn fǎ'àn yǐjing shíshī le.	The new bill has been enacted.	[sound:tmpjuwish.mp3]
他又添了一杯酒。	Tā yòu tiānle yī bēi jiǔ.	He had another glass of wine.	[sound:tmpavsra6.mp3]
让我瞧一瞧。	Ràng wǒ qiáo yī qiáo.	Let me have a look.	[sound:tmpqbcooc.mp3]
地铁间隔五分钟一班。	Dìtiě jiàngé wǔ fēnzhōng yī bān.	The subway comes every five minutes.	[sound:tmpxrspwd.mp3]
他持有中国护照。	Tā chíyǒu Zhōngguó hùzhào.	He holds a Chinese passport.	[sound:tmplkwrox.mp3]
飞机将要起飞。	Fēijī jiāngyào qǐfēi.	The plane is about to take off.	[sound:tmptae9u9.mp3]
月球是地球唯一的卫星。	yuèqiú shì dìqiú wéiyī de wèixīng .	The moon is the earth's only satellite.	[sound:332640.mp3]
假如美国受到攻击，老百姓的心理会怎么样？	Jiǎrú Měiguó shòu dào gōngjī, lǎobǎixìng de xīnlǐ huì zěnmeyàng?	What will people feel if the United States is attacked?	[sound:tmpuzeu9v.mp3]
他非常喜欢棒球。	tā fēicháng xǐhuān bàngqiú .	He likes baseball very very much.	[sound:333729.mp3]
他既会打网球，又会打棒球。	tā jì huì dǎ wǎngqiú , yòu huì dǎ bàngqiú .	He can play both tennis and baseball.	[sound:335095.mp3]
他不太关注棒球。	tā bù tài guānzhù bàngqiú.	He doesn't pay too much attention to baseball.	[sound:334854.mp3]
你喜欢棒球到什么程度？	nǐ xǐhuān bàngqiú dào shénme chéngdù?	To what level are you interested in baseball?	[sound:334211.mp3]
我会爱你一生一世。	Wǒ huì ài nǐ yīshēng-yīshì.	I will love you my whole life.	[sound:tmpkz1qkq.mp3]
她跳舞时的姿态很美。	Tā tiàowǔ shí de zītài hěn měi.	Her motions when dancing are beautiful.	[sound:tmpbamvhc.mp3]
由于下雨，比赛取消了。	Yóuyú xiàyǔ, bǐsài qǔxiāo le.	Due to the rain, the game has been canceled.	[sound:tmpcv_rww.mp3]
我该取消通话吗?	wǒ gāi qǔxiāo tōnghuà ma ?	Should I cancel the call?	[sound:333285.mp3]
由于下雨比赛中断了。	Yóuyú xiàyǔ bǐsài zhōngduàn le.	The game has been suspended due to rain.	[sound:tmpt3luw8.mp3]
公司制定了这项奖罚制度。	Gōngsī zhìdìng le Zhèxiàng jiǎngfá zhìdù.	The company established this award/penalty system.	[sound:tmphzquso.mp3]
不仅他们，连我也被老师罚了。	bùjǐn tāmen, lián wǒ yě bèi lǎoshī fá le.	Not only they but also I was scolded by the teacher.	[sound:334733.mp3]
民众容易被舆论影响。	Mínzhòng róngyì bèi yúlùn yǐngxiǎng.	People are easily influenced by public opinion.	[sound:tmpzxjbtv.mp3]
小朋友们依次排队上车。	Xiǎo péngyǒumen yīcì páiduì shàngchē.	The children line up to board the school bus.	[sound:tmpfkvjuk.mp3]
他很调皮。	Tā hěn tiáopí.	He's very naughty.	[sound:tmplvlpsa.mp3]
冰箱坏了。	Bīngxiāng huài le.	The refrigerator is broken.	[sound:R070-03.mp3]
你们俩是什么关系?	Nǐmen liǎ shì shénme guānxi?	What's the relationship between you?	[sound:tmp7awnmf.mp3]
孩子觉得自己很无辜。	Háizi juéde zìjǐ hěn wúgū.	The child felt he had been being wronged.	[sound:tmprp0c9a.mp3]
当他问起是谁打破了窗户时，所有的男生都显得很无辜。	dāng tā wèn qǐ shì shéi dǎpò le chuānghu shí , suǒyǒu de nánshēng dōu xiǎnde hěn wúgū .	When he asked who had broken the window, all the boys put on an air of innocence.	[sound:334301.mp3]
一升油多少钱？	Yī shēng yóu duōshaoqián?	How much does one liter of oil cost?	[sound:tmpoup7fj.mp3]
这匹马真乖。	Zhè pǐ mǎ zhēn guāi.	This horse is very well-behaved.	[sound:tmprc8w2r.mp3]
我的女儿很乖。	Wǒ de nǚ'ér hěn guāi.	My daughter is a very good girl.	[sound:tmpxntxsu.mp3]
看那座被雪覆盖的山。	kàn nà zuò bèi xuě fùgài de shān .	Look at that mountain which is covered with snow.	[sound:332711.mp3]
大雪覆盖着大地。	Dàxuě fùgàizhe dàdì.	Heavy snow covered the ground.	[sound:tmpbyzjuh.mp3]
整个国家被大雪覆盖了。	zhěng gè guójiā bèi dàxuě fùgài le .	The whole country was covered with snow.	[sound:334033.mp3]
学校因大雪停课一天。	xuéxiào yīn dàxuě tíng kè yī tiān .	School was closed for the day due to the snow.	[sound:333198.mp3]
今天风和日丽。	Jīntiān fēnghé-rìlì.	It's a beautiful day today, with gentle breezes and bright sunshine.	[sound:tmpz2nrkd.mp3]
监狱里关押着很多犯人。	Jiānyù li guānyā zhe hěn duō fànrén.	There are a lot of criminals being kept in prison.	[sound:tmpkwh8on.mp3]
刘先生什么时候来沈阳？	Liú xiānsheng shénme shíhòu lái Shěnyáng?	When will Mr. Liu come to Shenyang?	[sound:G031-01.mp3]
你为什么要回沈阳？	Nǐ wèishénme yào huí Shěnyáng?	Why will you back to Shenyang?	[sound:G035-04.mp3]
下个星期我要去沈阳。	Xià gè xīngqī wǒ yào qù Shěnyáng.	Next week I will go to Shenyang.	[sound:G042-02.mp3]
A你父母住在哪里?<br/>B我父母住在沈阳。	Nǐ fùmǔ zhùzài nǎli?<br />Wǒ fùmǔ zhùzài Shěnyáng.<br />	Where do your parents live?<br />My parents live in Shenyang.<br />	[sound:R006-DLG.mp3]
A他们喜欢沈阳吗?<br/>B不太喜欢。	Tāmen xǐhuan Shěnyáng ma?<br />Bú tài xǐhuan.	Do they like Shenyang?<br />Not that much.	[sound:R006-DLG.mp3]
沈阳是古老的城市。	Shěnyáng shì gǔlǎo de chéngshì.	Shenyang is an ancient city.	[sound:tmpc82jfh.mp3]
沈阳哪家酒吧比较安静？	Shěnyáng nǎ jiā jiǔbā bǐjiào ānjìng?	In Shenyang what bar is particularly quiet?	[sound:R105-05.mp3]
华盛顿是美国的政治中心。	Huáshèngdùn shì Měiguó de zhèngzhì zhōngxīn.	Washington is the political center of America.	[sound:tmpcyxicw.mp3]
我在理发店碰到了他。	wǒ zài lǐfādiàn pèngdào le tā .	I met him at the barber's.	[sound:333790.mp3]
您的房间在另一端。	Nín de fángjiān zài lìng yī duān.	Your room is on the other end.	[sound:tmpjczv2w.mp3]
朋友们在一起照相。	Péngyoumen zài yīqǐ zhàoxiàng.	The friends are taking a picture together.	[sound:tmpgxdeyd.mp3]
朋友们聚在一起。	Péngyoumen jù zài yīqǐ.	Friends have gathered together.	[sound:tmpj3b2lj.mp3]
我们每周在这儿聚一次。	wǒmen měizhōu zài zhèr jù yī cì .	We gather here one time a week.	[sound:333775.mp3]
