Kate, 坐吧。	Kate, zuò ba.	Sit down, Kate.	[sound:332793.mp3]
一个从俄勒冈州来的朋友，布朗先生明天会来拜访我们。	Yī gè cong Elègangzhoū lái de pengyou, Bùlang xiānsheng mingtiān huì lái bàifang wǒmen.	Mr. Brown, a friend from Oregon, will visit us tomorrow.	[sound:333270.mp3]
他很快便与小区里新来的男孩交上了朋友。	Tā hěn kuài biàn yǔ xiǎoqū lǐ xīn lái de nánhái jiāo shang le pengyou.	He quickly made friends with the new boy on the block.	[sound:332675.mp3]
有空的时候，我总喜欢听古典音乐。	Yoǔkong de shíhou, wǒ zong xǐhuan ting gǔdiǎn yīnyuè.	I always enjoy listening to classical music when I have some free time.	[sound:334071.mp3]
“酒水免费吗？”“仅女士而已。”	"Jiǔshuǐ miǎnfèi ma? ""Jǐn nvshì éryǐ."""	"Are the drinks free? ""Only for ladies."""	[sound:334614.mp3]
要完成实验，三个月太短了。	Yào wáncheng shíyàn, sān gè yuè tài duǎn le.	Three months is too short a time to finish the experiment.	[sound:332486.mp3]
让我们来澄清一下这个问题。	Rang wǒmen lái chengqing yīxià zhège wèntí.	Let's clear up this problem.	[sound:332536.mp3]
她帮她爸爸干了花园里的活。	Tā bang tā bàba gàn le huāyuán lǐ de huó.	She helped her father with the work in the garden.	[sound:333539.mp3]
我想知道这需要用多久时间。	Wǒ xiang zhīdào zhè xūyào yong duōjiǔ shíjiān.	I want to know how long it'll take.	[sound:334162.mp3]
很难在2、3年内掌握法语。	Hěn nán zài liang, sān nián nèi zhangwò Fǎyǔ.	It's quite difficult to master French in 2 or 3 years.	[sound:334170.mp3]
虽然他很有钱，但他不幸福。	Suīrán tā hěn yoǔ qián, dàn tā bù xingfú.	Though he is wealthy he is not happy.	[sound:334255.mp3]
我在名古屋生活了1个多月。	Wǒ zài Minggǔwū shenghuó le yī gè duō yuè.	I lived for more than a month in Nagoya.	[sound:334443.mp3]
我看见一只猫追着一只狗跑。	Wǒ kànjiàn yī zhī māo zhuī zhe yī zhī goǔ pǎo.	I see a cat chasing a dog.	[sound:334802.mp3]
我们看着这孩子玩耍。	Wǒmen kàn zhe zhè háizi wánshuǎ.	We were watching the child at play.	[sound:332545.mp3]
她和她妹妹一样亲切。	Tā hé tā mèimei yīyang qīnqiè.	She is no less kind than her sister is.	[sound:332588.mp3]
你会发现难以满足她。	Nǐ huì fāxiàn nányǐ mǎnzú tā.	You'll find it difficult to meet her requirements.	[sound:332795.mp3]
他父母对他期望过高。	Tā fùmǔ duì tā qīwang guògāo.	His parents expect too much of him.	[sound:332815.mp3]
昨晚我领居家着火了。	Zuówǎn wǒ ling jūjiā zháohuǒ le.	A fire broke out in my neighborhood last night.	[sound:332903.mp3]
好习惯是从小养成的。	Hǎo xíguàn shì cong xiǎo yangcheng de.	Good habits should be cultivated in childhood.	[sound:332909.mp3]
这不是我喜欢的类型。	Zhè bù shì wǒ xǐhuan de lèixing.	This is not my type.	[sound:333015.mp3]
我登上去伦敦的火车。	Wǒ dengshang qù Lúndūn de huǒchē.	I got on the train for London.	[sound:333111.mp3]
我们去年遇到了赤字。	Wǒmen qùnián yù dào le chìzì.	We went into the red last year.	[sound:333588.mp3]
昨天我去河边钓鱼了。	Zuótiān wǒ qù hébiān diàoyú le.	Yesterday I went and fished by the river.	[sound:333992.mp3]
人们说爱情是盲目的。	Rénmen shuō àiqing shì mangmù de.	They say love is blind.	[sound:334333.mp3]
我感觉就像做梦一样。	Wǒ gǎnjué jiù xiang zuòmeng yīyang.	I felt as if I were in a dream.	[sound:334550.mp3]
这是邮局，那是银行。	Zhè shì yoújú, nà shì yínhang.	This is a post office and that is a bank.	[sound:334637.mp3]
要我相信我会相信你不相信的东西是没用的！	Yào wǒ xiangxìn wǒ huì xiangxìn nǐ bù xiangxìn de dongxi shì méiyong de!	It's no use pretending to make me believe that I believe things you don't believe!	[sound:334704.mp3]
你走或留，随你高兴。	Nǐ zoǔ huò liú, suí nǐ gāoxing.	You can go or stay, as you wish.	[sound:334754.mp3]
烟从烟囱里冒了出来。	Yān cong yāncong lǐ mào le chūlái.	The smoke went upward through the chimney.	[sound:334824.mp3]
这封信是玛丽写的吗？	Zhè feng xìn shì Mǎlì xiě de ma?	Was this letter written by Mary?	[sound:334883.mp3]
我的一个叔叔给我了一些有用的建议。	Wǒ de yī gè shūshu gěi wǒ le yīxiē yoǔyong de jiànyì.	An uncle of mine gave me some useful advice.	[sound:332963.mp3]
我总是在离手不远的地方放一本字典。	Wǒ zongshì zài lí shoǔ bù yuǎn de dìfang fang yī běn zìdiǎn.	I always keep a dictionary close at hand.	[sound:333096.mp3]
如果他当时再努力一点，他就成功了。	Rúguǒ tā dangshí zài nǔlì yīdiǎn, tā jiù chenggong le.	With a little more effort, he would have succeeded.	[sound:333334.mp3]
再走一步的话，你就已经跌下楼梯了。	Zài zoǔ yī bù de huà, nǐ jiù yǐjing diē xià loútī le.	Another step, and you would have fallen down the stairs.	[sound:334612.mp3]
为什么你要对你没做过的事表示抱歉？	Wèishénme nǐ yào duì nǐ méi zuò guo de shì biǎoshì bàoqiàn?	Why say sorry for something you haven't even done?	[sound:334920.mp3]
待在那儿别动。	Dāi zài nàr bié dong.	Remain there and don't move.	[sound:332468.mp3]
不要拉我的腿！	Bù yào lā wǒ de tuǐ!	Don't pull my leg!	[sound:332560.mp3]
他可能迷路了。	Tā kěneng mílù le.	He may have lost his way.	[sound:332783.mp3]
这个月底前，我们必须交报告。	Zhège yuèdǐ qián, wǒmen bìxū jiāo bàogào.	We have to turn in our reports by the end of this month.	[sound:332952.mp3]
我爸爸坚持要我去那地方看看。	Wǒ bàba jiānchí yào wǒ qù nà dìfang kànkan.	My father insisted that I should go to see the place.	[sound:333192.mp3]
他出席了会议。	Tā chūxí le huìyì.	He was present at the meeting.	[sound:333543.mp3]
他不擅长开车。	Tā bù shànchang kāichē.	He is not a good driver.	[sound:333905.mp3]
你毕竟是对的。	Nǐ bìjing shì duì de.	After all, you're right.	[sound:334251.mp3]
我做事该果断。	Wǒ zuòshì gāi guǒduàn.	I should stop procrastinating.	[sound:334554.mp3]
我没任何零钱。	Wǒ méi rènhé lingqián.	I don't have any change.	[sound:334618.mp3]
今天早上，我吃了面包夹黄油。	Jīntiān zǎoshang, wǒ chī le miànbāo jiā huangyoú.	I ate bread and butter this morning.	[sound:334795.mp3]
他把她的秘密告诉了他的朋友。	Tā bǎ tā de mìmì gàosu le tā de pengyou.	He betrayed her secret to his friends.	[sound:334876.mp3]
这支笔和我昨天掉的那支一样。	Zhè zhī bǐ hé wǒ zuótiān diào de nèi zhī yīyang.	This is the same pen that I lost yesterday.	[sound:335036.mp3]
我不该退出的。	Wǒ bù gāi tuìchū de.	I shouldn't have logged off.	[sound:335054.mp3]
50年代，芬兰人被认为是世界上饮食最不健康的例子。	Wǔ shí niándài, Fēnlánrén bèi rènwéi shì shìjiè shang yǐnshí zuì bù jiànkang de lìzi.	In the 1950's, the Finns were cited as having one of the least healthy diets in the world.	[sound:334453.mp3]
合同已经到手了，那就出去庆祝一下吧。	Hétong yǐjing dàoshoǔ le, nà jiù chūqù qingzhù yīxià ba.	The contract is in the bag, so let's go out and celebrate.	[sound:332490.mp3]
如果他再努力一点，就可能已经成功了。	Rúguǒ tā zài nǔlì yīdiǎn, jiù kěneng yǐjing chenggong le.	With just a little more effort, he would have succeeded.	[sound:333662.mp3]
给你解释这为什么行不通要花很多时间。	Gěi nǐ jiěshì zhè wèishénme xingbutong yào huā hěn duō shíjiān.	It would take me too much time to explain to you why it's not going to work.	[sound:334703.mp3]
我没请他来参加庆祝会，感到有点内疚。	Wǒ méi qing tā lái cānjiā qingzhùhuì, gǎndào yoǔdiǎn nèijiù.	I feel a little guilty that I didn't invite him to join the celebration.	[sound:334740.mp3]
今晚我将在朋友家过夜。	Jīnwǎn wǒ jiang zài pengyou jiā guò yè.	I will put up at my friend's tonight.	[sound:332789.mp3]
她没有辜负我们的期望。	Tā méiyoǔ gūfù wǒmen de qīwang.	She lived up to our expectations.	[sound:332813.mp3]
许多人在工业城市工作。	Xǔduō rén zài gongyè chengshì gongzuò.	Many people work in industrial towns.	[sound:332869.mp3]
她给客人看了她的宝宝。	Tā gěi kèren kàn le tā de bǎobao.	She showed the visitor her baby.	[sound:332891.mp3]
她现在正待在她叔叔家。	Tā xiànzài zheng dāi zài tā shūshu jiā.	She is now staying at her uncle's house.	[sound:332905.mp3]
一个丑男人敲了我的门。	Yī gè choǔ nánrén qiāo le wǒ de mén.	An ugly man knocked on my door.	[sound:333234.mp3]
那条新裙子让她很满意。	Nà tiáo xīn qúnzi rang tā hěn mǎnyì.	She was satisfied with the new dress.	[sound:333751.mp3]
没有什么是不劳而获的。	Méiyoǔ shénme shì bùláo'érhuò de.	Nothing is achieved without effort.	[sound:334159.mp3]
消息一点一点地传开了。	Xiāoxi yīdiǎnyīdiǎn de chuánkāi le.	The news spread little by little.	[sound:334320.mp3]
从马德里来的人都很怪。	Cong Mǎdélǐ lái de rén doū hěn guài.	People from Madrid are weird.	[sound:334432.mp3]
昨晚我的自行车被偷了。	Zuówǎn wǒ de zìxingchē bèi toū le.	I had my bicycle stolen last night.	[sound:334530.mp3]
我从英国订了好几本书。	Wǒ cong Yingguó ding le hǎo jǐ běn shū.	I ordered several books from England.	[sound:334788.mp3]
现在的人教育程度比以前高得多。	Xiànzài de rén jiàoyù chengdù bǐ yǐqián gāo de duō.	People are more educated now than they used to be.	[sound:332680.mp3]
一个有名的建筑师造了这个房子。	Yī gè yoǔming de jiànzhùshī zào le zhège fangzi.	A famous architect built this house.	[sound:333563.mp3]
100万人在战争中失去了生命。	Yī bǎi wàn rén zài zhànzheng zhong shīqù le shengming.	One million people lost their lives in the war.	[sound:334445.mp3]
年轻的时候你应该开拓你的思想。	Niánqing de shíhou nǐ yinggāi kāituò nǐ de sīxiang.	You should enrich your mind when young.	[sound:334903.mp3]
我可以在茶和咖啡之间做个选择。	Wǒ kěyǐ zài chá hé kāfēi zhījiān zuò ge xuǎnzé.	I can choose between tea and coffee.	[sound:335009.mp3]
在一天之内完成它几乎是不可能的。	Zài yī tiān zhī nèi wáncheng tā jīhū shì bù kěneng de.	It's next to impossible to finish it in a day.	[sound:332542.mp3]
金子比水重得多。	Jīnzi bǐ shuǐ zhong de duō.	Gold is far heavier than water.	[sound:332591.mp3]
一个人要为他的行为负责。	Yī gè rén yào wèi tā de xingwéi fùzé.	A man is responsible for his deeds.	[sound:332831.mp3]
你必须马上开始。	Nǐ bìxū mǎshang kāishǐ.	You must start at once.	[sound:333008.mp3]
这是我们的荣幸。	Zhè shì wǒmen de rongxing.	It's our pleasure.	[sound:333110.mp3]
不要插手我的事。	Bù yào chāshoǔ wǒ de shì.	Don't interfere in my affairs.	[sound:333204.mp3]
我去公园散了步。	Wǒ qù gongyuán sàn le bù.	I went for a walk in the park.	[sound:333219.mp3]
清心的人有福了。	Qing xīn de rén yoǔ fú le.	Blessed are the pure in heart.	[sound:333235.mp3]
我看不出有其他方法能让他接受我们的提议。	Wǒ kànbuchū yoǔ qítā fangfǎ neng rang tā jiēshoù wǒmen de tíyì.	I can't think of any other way of getting him to accept our proposal.	[sound:333337.mp3]
请别在这里拍照。	Qing bié zài zhèlǐ pāizhào.	Please don't take pictures here.	[sound:333345.mp3]
我也过得很愉快。	Wǒ yě guòde hěn yúkuài.	I also had a very good time.	[sound:333496.mp3]
他把他的自行车刷成红色。	Tā bǎ tā de zìxingchē shuā cheng hongsè.	He painted his bicycle red.	[sound:333535.mp3]
我希望将来成为一名牙医。	Wǒ xīwang jianglái chengwéi yī ming yáyī.	I wish to become a dentist in future.	[sound:333542.mp3]
他非常喜欢棒球。	Tā fēichang xǐhuan bangqiú.	He likes baseball very much.	[sound:333729.mp3]
Ken大声呼救。	Ken dàsheng hūjiù.	Ken cried for help.	[sound:334040.mp3]
当它运转了，他们才看起来放心了。	Dang tā yùnzhuǎn le, tāmen cái kànqǐlai fangxīn le.	They looked relieved only when it was in motion.	[sound:334328.mp3]
桌上有一只橙子。	Zhuō shang yoǔ yī zhī chengzi.	There's an orange on the table.	[sound:334500.mp3]
英语不容易，但很有意思。	Yingyǔ bù rongyì, dàn hěn yoǔ yìsi.	English is not easy, but it is interesting.	[sound:334667.mp3]
我收到了您的信。	Wǒ shoūdào le nín de xìn.	I received your letter.	[sound:334694.mp3]
他不太关注棒球。	Tā bù tài guānzhù bangqiú.	He doesn't care much for baseball.	[sound:334854.mp3]
伦敦有很多公园。	Lúndūn yoǔ hěn duō gongyuán.	There are a lot of parks in London.	[sound:335022.mp3]
他离网球高手还差得远呢。	Tā lí wangqiú gāoshoǔ hái chà de yuǎn ne.	He is far from a good tennis player.	[sound:335078.mp3]
我将确保你们在第一年后有一个增长。	Wǒ jiang quèbǎo nǐmen zài dì yī nián hoù yoǔ yī gè zengzhang.	I'll see to it that you have a raise after the first year.	[sound:332684.mp3]
我感觉困得几乎不能睁开我的眼睛了。	Wǒ gǎnjué kùn de jīhū bù neng zhengkāi wǒ de yǎnjing le.	I felt so sleepy that I could hardly keep my eyes open.	[sound:334552.mp3]
你会很惊讶你在一周内能学到的东西。	Nǐ huì hěn jingyà nǐ zài yī zhoū nèi neng xué dào de dongxi.	You'd be surprised what you can learn in a week.	[sound:334915.mp3]
那个孩子可能在回家的路上被绑架了。	Nèige háizi kěneng zài huíjiā de lùshang bèi bangjià le.	That child may have been kidnapped on his way home.	[sound:335102.mp3]
我想要一艘船带我远离这里。	Wǒ xiangyào yī soū chuán dài wǒ yuǎnlí zhèli.	I want a boat that will take me far away from here.	[sound:333906.mp3]
这所学校为学生提供教科书。	Zhè suǒ xuéxiào wéi xuésheng tígong jiàokēshū.	This school supplies students with textbooks.	[sound:334982.mp3]
我不会想到有一天我会在维基百科查找“伟哥”。	"Wǒ bù huì xiangdào yoǔ yī tiān wǒ huì zài Wéijī Bǎikē cházhǎo ""Wěigē ""."	"I wouldn't have thought I would someday look up ""Viagra"" in Wikipedia."	[sound:334247.mp3]
他有可能赢得比赛。	Tā yoǔ kěneng yingdé bǐsài.	He is likely to win the game.	[sound:332558.mp3]
只有为数不多的几个电视节目值得关注。	Zhǐ yoǔ wéi shù bù duō de jǐge diànshì jiémù zhíde guānzhù.	Only a few TV programs are worth watching.	[sound:332634.mp3]
他有很多历史书籍。	Tā yoǔ hěn duō lìshǐ shūjí.	He has a lot of books on history.	[sound:332663.mp3]
我厌倦了我的工作。	Wǒ yànjuàn le wǒ de gongzuò.	I am tired of my work.	[sound:332780.mp3]
我挑不出他的毛病。	Wǒ tiāobuchū tā de máobing.	I cannot find fault with him.	[sound:332809.mp3]
不要探听别人的事。	Bù yào tànting biéren de shì.	Don't pry into the affairs of others.	[sound:332959.mp3]
我对他的态度变了。	Wǒ duì tā de tàidu biàn le.	My attitude towards him changed.	[sound:333218.mp3]
这张书桌是木制的。	Zhè zhang shūzhuō shì mùzhì de.	This desk is made of wood.	[sound:333309.mp3]
他怎么敢拆我的信！	Tā zěnme gǎn chāi wǒ de xìn!	How dare he open my letters!	[sound:333331.mp3]
我们希望在不久的将来邀请彼得去日本。	Wǒmen xīwang zài bù jiǔ de jianglái yāoqing Bǐdé qù Rìběn.	We wish to invite Peter to Japan in the near future.	[sound:333769.mp3]
医生告诉她要静养。	Yīsheng gàosu tā yào jingyang.	The doctor told her that she should take a rest.	[sound:334278.mp3]
你真的没有优先权！	Nǐ zhēnde méiyoǔ yoūxiānquán!	You really don't have the right priorities!	[sound:334707.mp3]
她喜欢受男生注目。	Tā xǐhuan shoù nánsheng zhùmù.	She likes to get boys' attention.	[sound:334812.mp3]
他有点像他的父亲。	Tā yoǔdiǎn xiang tā de fùqīn.	He is a bit like his father.	[sound:335113.mp3]
有一天我去法国是无可避免的，我只是不知道何时。	Yoǔ yī tiān wǒ qù Fǎguó shì wú kě bìmiǎn de, wǒ zhǐ shì bù zhīdào héshí.	It is inevitable that I go to France someday, I just don't know when.	[sound:335052.mp3]
我没有拜访他，因为我感冒了。	Wǒ méiyoǔ bàifang tā, yīnwèi wǒ gǎnmào le.	I didn't call on him because I had a cold.	[sound:332550.mp3]
要去博物馆，你就得乘那辆车。	Yào qù bówùguǎn, nǐ jiù děi cheng nà liang chē.	You have to get on that bus to go to the museum.	[sound:332694.mp3]
我想要个能装这些玩具的盒子。	Wǒ xiangyào ge neng zhuang zhèxiē wánjù de hézi.	I want a box in which to keep these toys.	[sound:333855.mp3]
我爸爸年轻的时候一定很英俊。	Wǒ bàba niánqing de shíhou yīding hěn yingjùn.	My father must have been handsome in his youth.	[sound:334228.mp3]
你从来没时间处理重要的事情！	Nǐ conglái méi shíjiān chǔlǐ zhongyào de shìqing!	You never have time for important things!	[sound:334705.mp3]
不仅他们，连我也被老师罚了。	Bù jǐn tāmen, lián wǒ yě bèi lǎoshī fá le.	Not only they but also I was scolded by the teacher.	[sound:334733.mp3]
你可以选择红茶，咖啡或牛奶。	Nǐ kěyǐ xuǎnzé hongchá, kāfēi huò niúnǎi.	You have a choice of black tea, coffee, or milk.	[sound:335006.mp3]
我找到那把我一直在找的钥匙了。	Wǒ zhǎodào nèi bǎ wǒ yīzhí zài zhǎo de yàoshi le.	I found the key for which I had been looking.	[sound:332433.mp3]
我没什么可依靠的了。	Wǒ méi shénme kě yīkào de le.	I have nothing to fall back on.	[sound:332597.mp3]
我厌倦了他的老笑话。	Wǒ yànjuàn le tā de lǎo xiàohua.	I was bored with his old jokes.	[sound:332845.mp3]
她的眼里涌出了泪水。	Tā de yǎn lǐ yongchū le lèishuǐ.	Her eyes gushed with tears.	[sound:332846.mp3]
这场秀棒极了，但是门票太贵了。	Zhè chang xiù bang jí le, dànshì ménpiào tài guì le.	The show was wonderful, but the tickets were too expensive.	[sound:333029.mp3]
这辆车保养起来很贵。	Zhè liang chē bǎoyang qilai hěn guì.	It is expensive running this car.	[sound:333042.mp3]
我们觉得他的威胁只是一个玩笑。	Wǒmen juéde tā de wēixié zhǐshì yī gè wánxiào.	We thought his threat was only a joke.	[sound:333148.mp3]
飞行愉快！	Fēixing yúkuài!	Have a nice flight.	[sound:333197.mp3]
我们走开的时候，房子被盗窃了。	Wǒmen zoǔkāi de shíhou, fangzi bèi dàoqiè le.	Our house was robbed while we were away.	[sound:333311.mp3]
他的医生命令他休息。	Tā de yīsheng mingling tā xiūxi.	His doctor ordered him to rest.	[sound:333530.mp3]
她对谁都很和蔼可亲。	Tā duì shéi doū hěn hé'ǎi-kěqīn.	She is gracious to everyone.	[sound:333661.mp3]
你不该浪费你的时间。	Nǐ bù gāi langfèi nǐ de shíjiān.	You should not waste your time.	[sound:333674.mp3]
我在理发店碰到了他。	Wǒ zài lǐfàdiàn pengdào le tā.	I met him at the barber's.	[sound:333790.mp3]
旅行前，我剪了头发。	Lvxing qián, wǒ jiǎn le toúfa.	Before taking a journey, I got a haircut.	[sound:333853.mp3]
这个科幻故事似乎很有趣。你看完的时候能不能借给我？	Zhège kēhuàn gùshi sìhū hěn yoǔqù. Nǐ kàn wán de shíhou neng bù neng jiè gěi wǒ?	This science fiction story seems interesting. Will you lend it to me when you have finished reading it?	[sound:334199.mp3]
很抱歉，我们不能接受你的要求。	Hěn bàoqiàn, wǒmen bù neng jiēshoù nǐ de yāoqiú.	We are sorry we are unable to accept your request.	[sound:334200.mp3]
要是我们做了同样的事，我们将会受到惩罚。	Yàoshi wǒmen zuò le tongyang de shì, wǒmen jianghuì shoùdào chengfá.	Were we to do such a thing, we should be punished.	[sound:335013.mp3]
电脑是个复杂的机器。	Diànnǎo shì ge fùzá de jīqì.	A computer is a complex machine.	[sound:335129.mp3]
他们和一个导游一起出发，只是为了以防迷路。	Tāmen hé yī gè dǎoyoú yīqǐ chūfā, zhǐ shì wèile yǐfang mílù.	They set out with a guide just in case they lost their way.	[sound:333819.mp3]
当我们想到男女在社会中的传统角色时，我们认为丈夫养家，妻子照顾孩子和家庭。	Dang wǒmen xiangdào nánnv zài shèhuì zhong de chuántong jiǎosè shí, wǒmen rènwéi zhangfu yangjiā, qīzi zhàogu háizi hé jiāting.	When we think of the traditional roles of men and women in society, we think of husbands supporting the family, and wives taking care of the house and children.	[sound:333788.mp3]
能不能麻烦你告诉我去邻村怎么走？	Neng bù neng máfan nǐ gàosu wǒ qù lín cūn zěnme zoǔ?	Sorry, but can you show me the way to the next village?	[sound:332599.mp3]
这张照片让我想起童年的快乐时光。	Zhè zhang zhàopiàn rang wǒ xiangqǐ tongnián de kuàilè shíguang.	This photograph reminds me of enjoyable times when I was a child.	[sound:332691.mp3]
今天糟糕透了，所以我准备去喝一杯就直接上床。	Jīntiān zāogāo toù le, suǒyǐ wǒ zhǔnbèi qù hē yī bēi jiù zhíjiē shang chuang.	I had an awful experience today, so I'm going to have a beer and go straight to bed.	[sound:332462.mp3]
我开门的时候弄坏了锁。	Wǒ kāimén de shíhou nonghuài le suǒ.	In opening the door, I broke the lock.	[sound:332912.mp3]
舞台上有著名音乐家吗？	Wǔtái shang yoǔ zhùming yīnyuèjiā ma?	Are there any famous musicians on the stage?	[sound:333013.mp3]
没有空气，人无法存在。	Méiyoǔ kongqì, rén wúfǎ cúnzài.	Men can not exist without air.	[sound:333241.mp3]
邻居看见信箱不是空的。	Línjū kànjiàn xìnxiang bù shì kong de.	The neighbours see that the mailbox hasn't been emptied.	[sound:334607.mp3]
风刮得太猛，他们没法在公园里玩了。	Feng guā de tài meng, tāmen méifǎ zài gongyuán lǐ wán le.	The wind blew too hard for them to play in the park.	[sound:333203.mp3]
要做蛋糕，你要用到鸡蛋，黄油和糖。	Yào zuò dàngāo, nǐ yào yongdào jīdàn, huangyoú hé tang.	To make a cake, you need egg, butter and sugar.	[sound:333433.mp3]
他被很多人围着，自然变得有点紧张。	Tā bèi hěn duō rén wéi zhe, zìrán biànde yoǔdiǎn jǐnzhang.	With so many people around he naturally became a bit nervous.	[sound:334436.mp3]
不管我跟她说了多少次，她还是继续犯同样的错误。	Bù guǎn wǒ gēn tā shuō le duōshao cì, tā háishi jìxù fàn tongyang de cuòwù.	No matter how often I tell her, she keeps making the same mistake.	[sound:333465.mp3]
直到那时，他才意识到他已经上当受骗。	Zhídào nàshí, tā cái yìshí dào tā yǐjing shangdang shoùpiàn.	Only then did he realize he had been deceived.	[sound:332498.mp3]
除非我死了！	Chúfēi wǒ sǐ le!	Over my dead body.	[sound:332796.mp3]
我们必须考虑到他很年轻。	Wǒmen bìxū kǎolv dào tā hěn niánqing.	We must take into account the fact that he is young.	[sound:332807.mp3]
我赚钱养家。	Wǒ zhuànqián yangjiā.	I sustain my family.	[sound:332858.mp3]
我头撞到了门，肿了一块。	Wǒ toú zhuangdào le mén, zhong le yī kuài.	I bumped my head against the door and got a lump.	[sound:333007.mp3]
天日渐回暖。	Tiān rìjiàn huínuǎn.	It's getting warmer day by day.	[sound:333106.mp3]
我不喜欢你嘲笑她的方式。	Wǒ bù xǐhuan nǐ cháoxiào tā de fangshì.	I don't like the way you laugh at her.	[sound:333671.mp3]
节日和考试碰巧在同一天。	Jiérì hé kǎoshì pengqiǎo zài tongyītiān.	The date of the festival coincides with that of the exam.	[sound:333834.mp3]
我匆匆忙忙，为的是能赶上第一班火车。	Wǒ congcong-mangmang, wèi de shì neng gǎnshang dì-yī bān huǒchē.	I hurried in order to catch the first train.	[sound:333916.mp3]
那个男孩否认偷了自行车。	Nèige nánhái foǔrèn toū le zìxingchē.	The boy denied having stolen the bicycle.	[sound:333998.mp3]
政治家从来不告诉我们他们的别有用心。	Zhengzhìjiā conglái bù gàosu wǒmen tāmen de biéyoǔ-yongxīn.	Politicians never tell us their inner thoughts.	[sound:334051.mp3]
这顶红帽子很衬她的裙子。	Zhè ding hong màozi hěn chèn tā de qúnzi.	This red hat corresponds well to her dress.	[sound:334073.mp3]
我喜欢拍照。	Wǒ xǐhuan pāizhào.	I enjoy taking pictures.	[sound:334388.mp3]
我想某一天拜访你的国家。	Wǒ xiang moǔ yī tiān bàifang nǐ de guójiā.	I'd like to visit your country someday.	[sound:334857.mp3]
他太不合群。	Tā tài bù héqún.	He is unsociable.	[sound:335105.mp3]
他有点苍白。	Tā yoǔdiǎn cangbái.	He looks kind of pale.	[sound:335114.mp3]
在某种程度上你是对的，但我还是有疑问。	Zài moǔ zhong chengdù shang nǐ shì duì de, dàn wǒ háishi yoǔ yíwèn.	In a way you're right, but I still have doubts.	[sound:332729.mp3]
两个孩子的年龄加起来和他们的父亲相当。	Liang gè háizi de niánling jiā qǐlai hé tāmen de fùqin xiangdang.	The ages of the two children put together was equivalent to that of their father.	[sound:334751.mp3]
我弟弟手里拿着一个摄像机。	Wǒ dìdi shoǔlǐ ná zhe yī gè shèxiangjī.	My brother is holding a camera in his hand.	[sound:332791.mp3]
你不应该在学校大楼里奔跑。	Nǐ bù yinggāi zài xuéxiào dàloú lǐ bēnpǎo.	You must not run in the school buildings.	[sound:332860.mp3]
我在找关于古罗马历史的书。	Wǒ zài zhǎo guānyú gǔ Luómǎ lìshǐ de shū.	I'm looking for books on Roman history.	[sound:332933.mp3]
今晚你可以在他家联络到他。	Jīnwǎn nǐ kěyǐ zài tā jiā liánluò dào tā.	You can get in touch with him at his home tonight.	[sound:332948.mp3]
我期待很快就能收到你的信。	Wǒ qīdài hěn kuài jiù neng shoūdào nǐ de xìn.	I am looking forward to hearing from you soon.	[sound:332980.mp3]
很抱歉，我还有另一个约会。	Hěn bàoqiàn, wǒ háiyoǔ ling yī gè yuēhuì.	I'm sorry. I have another appointment.	[sound:333682.mp3]
我需要你的护照和三张照片。	Wǒ xūyào nǐ de hùzhào hé sān zhang zhàopiàn.	I need your passport and three photographs.	[sound:334389.mp3]
成千上万的人想要知道答案。	Chengqiānshangwàn de rén xiang yào zhīdào dá'àn.	Thousands of people wanted to know the answer.	[sound:334787.mp3]
他既会打网球，又会打棒球。	Tā jì huì dǎ wangqiú, yoù huì dǎ bangqiú.	He can play both tennis and baseball.	[sound:335095.mp3]
孩子在这条河里游泳太危险了。	Háizi zài zhè tiáo hé lǐ yoúyong tài wēixiǎn le.	This river is dangerous for children to swim in.	[sound:332821.mp3]
病人随时会死。	Bingrén suíshí huì sǐ.	That patient may die at any time.	[sound:332829.mp3]
乡间有很多树。	Xiangjiān yoǔ hěn duō shù.	The countryside has many trees.	[sound:332921.mp3]
我想去西雅图。	Wǒ xiang qù Xīyǎtú.	I want to go to Seattle.	[sound:333258.mp3]
她老是吹嘘自己是个游泳健将。	Tā lǎoshi chuīxū zìjǐ shì ge yoúyong jiànjiang.	She always boasts of being a good swimmer.	[sound:333369.mp3]
天气又冷又湿。	Tiānqì yoù leng yoù shī.	The weather was not only cold, but also wet.	[sound:333431.mp3]
我父母还不老。	Wǒ fùmǔ hái bù lǎo.	My parents aren't old yet.	[sound:333789.mp3]
所有的医药费我大概要付多少？	Suǒyoǔ de yīyàofèi wǒ dàgài yào fù duōshao?	About how much will I have to pay for all the treatments?	[sound:333845.mp3]
射手打死了鹿。	Shèshoǔ dǎsǐ le lù.	The archer killed the deer.	[sound:334456.mp3]
家乐福的火腿剩料一点都不贵，然而却很好吃。	Jiālèfú de huǒtuǐ sheng liào yīdiǎn doū bù guì, rán'ér què hěn hǎochī.	Carrefour's Ham offcuts are not expensive at all, but are nonetheless delicious.	[sound:334566.mp3]
她假装是学生。	Tā jiǎzhuang shì xuésheng.	She pretended to be a student.	[sound:334611.mp3]
趁热喝你的汤。	Chèn rè hē nǐ de tang.	Eat your soup while it is hot.	[sound:334689.mp3]
你去过神户吗？	Nǐ qù guo Shénhù ma?	Have you ever been to Kobe?	[sound:334869.mp3]
我很喜欢烛光。	Wǒ hěn xǐhuan zhúguang.	I like candlelight.	[sound:335068.mp3]
